samplename	species	nreads
ClaidentTutorial__Sample01__MiFish	011_unidentified_Nemacheilidae	352
ClaidentTutorial__Sample01__MiFish	036_unidentified_Tariqilabeo	286
ClaidentTutorial__Sample01__MiFish	009_unidentified_Opsaridium	277
ClaidentTutorial__Sample01__MiFish	071_Polydactylus_sextarius	263
ClaidentTutorial__Sample01__MiFish	008_unidentified_Euteleosteomorpha	250
ClaidentTutorial__Sample01__MiFish	151_Girella_punctata	249
ClaidentTutorial__Sample01__MiFish	152_unidentified_Hiodon	247
ClaidentTutorial__Sample01__MiFish	044_unidentified_Bovichtus	243
ClaidentTutorial__Sample01__MiFish	196_Hime_japonica	242
ClaidentTutorial__Sample01__MiFish	199_unidentified_Pseudorhombus	229
ClaidentTutorial__Sample01__MiFish	146_unidentified_Diceratiidae	225
ClaidentTutorial__Sample01__MiFish	200_unidentified_Citharinus	224
ClaidentTutorial__Sample01__MiFish	126_unidentified_Ariosoma	217
ClaidentTutorial__Sample01__MiFish	089_unidentified_Characidae	213
ClaidentTutorial__Sample01__MiFish	158_Eleginus_gracilis	213
ClaidentTutorial__Sample01__MiFish	039_Spratelloides_delicatulus	212
ClaidentTutorial__Sample01__MiFish	088_unidentified_Amblyopinae	205
ClaidentTutorial__Sample01__MiFish	204_unidentified_Macrourinae	204
ClaidentTutorial__Sample01__MiFish	205_unidentified_Esociformes	196
ClaidentTutorial__Sample01__MiFish	018_unidentified_Stolephorus	190
ClaidentTutorial__Sample01__MiFish	096_Parachaenichthys_charcoti	190
ClaidentTutorial__Sample01__MiFish	002_Kaupichthys_hyoproroides	189
ClaidentTutorial__Sample01__MiFish	077_unidentified_Microdevario	184
ClaidentTutorial__Sample01__MiFish	207_Helostoma_temminkii	183
ClaidentTutorial__Sample01__MiFish	208_unidentified_Eugnathogobius	171
ClaidentTutorial__Sample01__MiFish	073_Seriola_quinqueradiata	170
ClaidentTutorial__Sample01__MiFish	090_unidentified_Channa	167
ClaidentTutorial__Sample01__MiFish	125_Lactoria_diaphana	165
ClaidentTutorial__Sample01__MiFish	185_unidentified_Scomberomorus	165
ClaidentTutorial__Sample01__MiFish	047_unidentified_Cottiusculus	163
ClaidentTutorial__Sample01__MiFish	060_unidentified_Plesiops	161
ClaidentTutorial__Sample01__MiFish	143_Macropharyngodon_negrosensis	159
ClaidentTutorial__Sample01__MiFish	052_Parupeneus_chrysopleuron	155
ClaidentTutorial__Sample01__MiFish	210_Arripis_trutta	152
ClaidentTutorial__Sample01__MiFish	019_Triphoturus_mexicanus	150
ClaidentTutorial__Sample01__MiFish	106_Cynoglossus_abbreviatus	145
ClaidentTutorial__Sample01__MiFish	033_unidentified_Coilinae	143
ClaidentTutorial__Sample01__MiFish	189_unidentified_Linophrynidae	138
ClaidentTutorial__Sample01__MiFish	003_Uranoscopus_cognatus	134
ClaidentTutorial__Sample01__MiFish	092_Mugil_cephalus	130
ClaidentTutorial__Sample01__MiFish	133_Pterapogon_kauderni	129
ClaidentTutorial__Sample01__MiFish	174_unidentified_Oreochromini	129
