samplename	otu_001	otu_002	otu_003	otu_004	otu_005	otu_006	otu_007	otu_008	otu_009	otu_010	otu_011	otu_012	otu_013	otu_014	otu_015	otu_016	otu_017	otu_018	otu_019	otu_020	otu_021	otu_022	otu_023	otu_024	otu_025	otu_026	otu_027	otu_028	otu_029	otu_030	otu_031	otu_032	otu_033	otu_034	otu_035	otu_036	otu_037	otu_038	otu_039	otu_040	otu_041	otu_042	otu_043	otu_044	otu_045	otu_046	otu_047	otu_048	otu_049	otu_050	otu_051	otu_052	otu_053	otu_054	otu_055	otu_056	otu_057	otu_058	otu_059	otu_060	otu_061	otu_062	otu_063	otu_064	otu_065	otu_066	otu_067	otu_068	otu_069	otu_070	otu_071	otu_072	otu_073	otu_074	otu_075	otu_076	otu_077	otu_078	otu_079	otu_080	otu_081	otu_082	otu_083	otu_084	otu_085	otu_086	otu_087	otu_088	otu_089	otu_090	otu_091	otu_092	otu_093	otu_094	otu_095	otu_096	otu_097	otu_098	otu_099	otu_100	otu_101	otu_102	otu_103	otu_104	otu_105	otu_106	otu_107	otu_108	otu_109	otu_110	otu_111	otu_112	otu_113	otu_114	otu_115	otu_116	otu_117	otu_118	otu_119	otu_120	otu_121	otu_122	otu_123	otu_124	otu_125	otu_126	otu_127	otu_128	otu_129	otu_130	otu_131	otu_132	otu_133	otu_134	otu_135	otu_136	otu_137	otu_138	otu_139	otu_140	otu_141	otu_142	otu_143	otu_144	otu_145	otu_146	otu_147	otu_148	otu_149	otu_150	otu_151	otu_152	otu_153	otu_154	otu_155	otu_156	otu_157	otu_158	otu_159	otu_160	otu_161	otu_162	otu_163	otu_164	otu_165	otu_166	otu_167	otu_168	otu_169	otu_170	otu_171	otu_172	otu_173	otu_174	otu_175	otu_176	otu_177	otu_178	otu_179	otu_180	otu_181	otu_182	otu_183	otu_184	otu_185	otu_186	otu_187	otu_188	otu_189	otu_190	otu_191	otu_192	otu_193	otu_194	otu_195	otu_196	otu_197	otu_198	otu_199	otu_200	otu_201	otu_202	otu_203	otu_204	otu_205	otu_206	otu_207	otu_208	otu_209	otu_210	otu_211	otu_212	otu_213	otu_214	otu_215	otu_216	otu_217	otu_218	otu_219	otu_220	otu_221	otu_222	otu_223	otu_224	otu_225	otu_226	otu_227	otu_228	otu_229	otu_230	otu_231	otu_232	otu_233	otu_234	otu_235	otu_236	otu_237	otu_238	otu_239	otu_240	otu_241
ClaidentTutorial__Sample01__MiFish	13	12	0	0	0	19	0	0	7	0	0	0	0	0	0	18	0	11	0	0	0	0	0	0	0	0	0	0	0	11	0	0	24	0	0	16	0	0	0	0	18	0	0	0	20	0	0	0	0	0	13	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	15	0	12	0	14	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	15	0	11	0	0	0	21	30	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	19	0	0	0	0	0	13	13	11	0	0	0	0	0	0	0	16	0	7	0	14	0	0	0	0	0	0	17	17	19	0	0	0	0	0	17	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	12	0	0	0	0	0	0	0	18	0	0	18	0	11	0	0	0	0	0	15	0	18	0	22	11	0	0	13	0	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0
ClaidentTutorial__Sample02__MiFish	39	43	0	0	0	54	0	0	26	0	0	0	0	0	0	60	0	60	0	0	0	0	45	0	0	0	0	0	0	29	0	0	45	54	0	43	0	0	0	0	36	0	0	0	48	0	0	0	0	0	28	0	0	0	0	54	1	52	0	0	27	0	0	0	0	0	0	0	40	0	49	83	48	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	32	0	47	0	0	0	45	34	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	50	0	0	0	0	47	0	0	0	0	58	0	44	0	0	0	0	0	26	44	60	63	0	15	0	0	0	0	88	0	41	0	57	0	0	0	0	0	0	43	45	41	0	0	0	0	0	46	23	0	0	0	0	0	41	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample03__MiFish	14	20	0	18	0	7	0	0	10	0	0	0	0	0	0	15	0	15	23	0	0	0	14	0	0	0	0	0	0	8	0	9	12	12	0	12	0	0	0	0	4	0	0	0	7	0	4	0	0	23	8	0	0	0	0	10	0	20	0	0	13	0	0	0	0	0	0	0	8	0	6	11	17	0	8	0	0	0	0	0	0	0	0	30	0	0	0	0	0	14	17	0	13	0	0	0	17	14	0	0	0	0	0	0	38	0	0	8	0	0	0	0	0	0	0	0	0	16	0	0	20	0	15	0	0	0	0	18	0	19	0	0	0	0	0	9	21	8	23	0	18	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample04__MiFish	100	62	91	91	0	68	0	0	36	0	0	0	0	0	0	87	1	98	65	0	0	115	43	0	0	0	0	0	0	92	0	86	89	82	0	65	0	0	0	0	50	0	0	0	98	0	51	0	0	64	87	0	0	103	0	88	0	58	0	49	77	0	0	0	0	0	0	0	68	0	95	87	90	0	79	0	138	0	0	0	0	0	57	74	0	0	0	89	0	56	57	0	88	0	0	0	67	0	0	0	0	95	0	0	39	0	0	37	0	0	0	0	0	0	0	0	0	75	0	0	87	0	58	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	76	0	0	0	0	0	0	0	0	1	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample05__MiFish	118	106	114	161	0	163	0	0	92	0	0	0	0	0	0	110	243	163	119	0	176	127	136	0	0	0	0	0	1	155	0	102	176	90	0	95	0	2	0	0	101	0	0	0	61	0	112	0	0	133	97	0	0	161	0	119	0	122	0	153	96	0	0	0	0	0	110	0	146	0	158	106	135	0	128	0	134	0	0	0	0	0	97	160	0	0	0	117	0	0	0	0	2	0	0	0	0	0	0	0	3	104	0	0	118	205	0	125	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	2	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	202	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample06__MiFish	39	21	51	22	3	36	0	0	35	0	0	0	66	29	0	50	38	14	33	0	36	45	23	0	0	0	0	0	0	36	0	33	47	35	0	46	52	0	0	0	25	0	0	0	24	0	28	0	0	30	30	0	0	27	0	32	0	35	0	18	47	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	38	18	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	23	56	0	0	22	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	41	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	36	0	0	22	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample07__MiFish	112	97	98	98	129	99	0	0	106	0	0	1	132	75	161	103	133	148	53	0	72	165	182	0	80	0	1	0	0	109	0	107	0	86	0	74	98	24	0	0	87	0	0	0	124	0	67	0	0	89	140	0	0	78	0	96	0	0	0	87	79	136	0	0	0	64	72	0	0	153	0	0	0	0	3	183	95	0	0	0	0	0	128	0	174	0	0	142	0	0	0	0	0	0	0	0	1	0	0	0	0	93	94	0	0	160	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample08__MiFish	89	137	149	131	210	183	0	0	175	0	0	239	146	139	197	185	280	183	153	0	144	255	217	0	141	0	239	0	172	188	0	148	0	142	0	125	161	186	0	0	162	0	0	0	0	0	124	0	0	111	0	310	0	112	0	0	253	0	0	232	98	185	0	0	0	157	234	0	1	159	2	1	1	0	1	156	0	0	0	0	0	0	108	0	203	0	0	0	0	0	0	0	2	0	0	0	0	0	185	0	40	0	130	0	0	2	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	1	0	0	0	0	0	0	132	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample09__MiFish	27	29	35	26	32	14	40	0	10	54	0	46	29	24	21	0	32	7	25	0	30	36	30	0	31	0	36	33	21	0	0	18	0	14	0	0	24	14	0	0	0	0	0	0	0	0	36	0	0	0	0	27	0	26	0	0	43	0	0	28	0	35	0	0	27	41	43	0	0	24	0	0	0	0	0	26	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	26	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	35	0	0	0	50	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample10__MiFish	89	64	77	102	89	98	108	83	91	79	195	68	118	106	105	0	76	0	60	0	72	96	0	0	116	0	120	92	105	0	0	127	0	0	0	0	49	63	0	0	1	0	0	91	0	121	76	0	0	0	0	93	0	0	0	0	81	0	0	0	0	83	0	0	112	57	0	0	0	90	0	0	0	0	0	70	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	161	0	0	0	111	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	57	0	0	0	0	0	0	0	1	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	77	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0
