samplename	species	nreads
ClaidentTutorial__Sample01__MiFish	01_unidentified_Gastromyzontidae	247
ClaidentTutorial__Sample01__MiFish	03_Sardina_pilchardus	249
ClaidentTutorial__Sample01__MiFish	05_unidentified_Amblyopinae	247
ClaidentTutorial__Sample01__MiFish	06_unidentified_Symphysodon	246
ClaidentTutorial__Sample01__MiFish	09_unidentified_Osteoglossiformes	247
ClaidentTutorial__Sample01__MiFish	12_unidentified_Onychostoma	247
ClaidentTutorial__Sample01__MiFish	17_Cynoglossus_abbreviatus	243
ClaidentTutorial__Sample01__MiFish	19_unidentified_Hyporhamphus	248
ClaidentTutorial__Sample01__MiFish	20_unidentified_Homatula	247
ClaidentTutorial__Sample01__MiFish	21_Scolopsis_ciliata	247
ClaidentTutorial__Sample01__MiFish	22_unidentified_Oreochromini	250
ClaidentTutorial__Sample01__MiFish	26_Amblydoras_gonzalezi	249
ClaidentTutorial__Sample01__MiFish	28_unidentified_Channa	249
ClaidentTutorial__Sample01__MiFish	30_unidentified_Facciolella	247
ClaidentTutorial__Sample01__MiFish	31_Acanthocepola_krusensternii	248
ClaidentTutorial__Sample01__MiFish	43_Cephalopholis_argus	251
ClaidentTutorial__Sample01__MiFish	45_unidentified_Chaetobranchopsis	250
ClaidentTutorial__Sample01__MiFish	51_others	8121
ClaidentTutorial__Sample02__MiFish	01_unidentified_Gastromyzontidae	242
ClaidentTutorial__Sample02__MiFish	03_Sardina_pilchardus	248
ClaidentTutorial__Sample02__MiFish	05_unidentified_Amblyopinae	250
ClaidentTutorial__Sample02__MiFish	06_unidentified_Symphysodon	247
ClaidentTutorial__Sample02__MiFish	09_unidentified_Osteoglossiformes	250
ClaidentTutorial__Sample02__MiFish	11_Pagellus_bogaraveo	247
ClaidentTutorial__Sample02__MiFish	12_unidentified_Onychostoma	246
ClaidentTutorial__Sample02__MiFish	17_Cynoglossus_abbreviatus	244
ClaidentTutorial__Sample02__MiFish	19_unidentified_Hyporhamphus	245
ClaidentTutorial__Sample02__MiFish	20_unidentified_Homatula	250
ClaidentTutorial__Sample02__MiFish	21_Scolopsis_ciliata	244
ClaidentTutorial__Sample02__MiFish	22_unidentified_Oreochromini	250
ClaidentTutorial__Sample02__MiFish	26_Amblydoras_gonzalezi	251
ClaidentTutorial__Sample02__MiFish	28_unidentified_Channa	493
ClaidentTutorial__Sample02__MiFish	30_unidentified_Facciolella	245
ClaidentTutorial__Sample02__MiFish	31_Acanthocepola_krusensternii	244
ClaidentTutorial__Sample02__MiFish	39_unidentified_Pampus	246
ClaidentTutorial__Sample02__MiFish	43_Cephalopholis_argus	247
ClaidentTutorial__Sample02__MiFish	45_unidentified_Chaetobranchopsis	246
ClaidentTutorial__Sample02__MiFish	51_others	7378
ClaidentTutorial__Sample03__MiFish	01_unidentified_Gastromyzontidae	247
ClaidentTutorial__Sample03__MiFish	02_Canthophrys_gongota	244
ClaidentTutorial__Sample03__MiFish	03_Sardina_pilchardus	247
ClaidentTutorial__Sample03__MiFish	05_unidentified_Amblyopinae	250
ClaidentTutorial__Sample03__MiFish	06_unidentified_Symphysodon	247
