samplename	species	nreads
ClaidentTutorial__Sample01__MiFish	51_others	164166.468772263
ClaidentTutorial__Sample01__MiFish	03_Sardina_pilchardus	5106.86297791499
ClaidentTutorial__Sample01__MiFish	42_Cephalopholis_argus	5066.49251959155
ClaidentTutorial__Sample01__MiFish	06_unidentified_Symphysodon	5026.12206126811
ClaidentTutorial__Sample01__MiFish	24_unidentified_Oreochromini	5026.12206126811
ClaidentTutorial__Sample01__MiFish	05_unidentified_Amblyopinae	5005.93683210639
ClaidentTutorial__Sample01__MiFish	26_unidentified_Facciolella	5005.93683210639
ClaidentTutorial__Sample01__MiFish	32_Acanthocepola_krusensternii	5005.93683210639
ClaidentTutorial__Sample01__MiFish	14_unidentified_Onychostoma	4985.75160294467
ClaidentTutorial__Sample01__MiFish	17_Cynoglossus_abbreviatus	4985.75160294467
ClaidentTutorial__Sample01__MiFish	18_unidentified_Hyporhamphus	4985.75160294467
ClaidentTutorial__Sample01__MiFish	21_unidentified_Homatula	4985.75160294467
ClaidentTutorial__Sample01__MiFish	47_Lepidoblepharon_ophthalmolepis	4985.75160294467
ClaidentTutorial__Sample01__MiFish	01_unidentified_Gastromyzontidae	4965.56637378295
ClaidentTutorial__Sample01__MiFish	33_unidentified_Channa	4965.56637378295
ClaidentTutorial__Sample01__MiFish	20_Scolopsis_ciliata	4945.38114462123
ClaidentTutorial__Sample01__MiFish	29_Amblydoras_gonzalezi	4945.38114462123
ClaidentTutorial__Sample01__MiFish	07_unidentified_Osteoglossiformes	4925.19591545951
ClaidentTutorial__Sample02__MiFish	51_others	150404.984423676
ClaidentTutorial__Sample02__MiFish	33_unidentified_Channa	9940.09106158639
ClaidentTutorial__Sample02__MiFish	29_Amblydoras_gonzalezi	5092.25976515696
ClaidentTutorial__Sample02__MiFish	14_unidentified_Onychostoma	5071.89072609634
ClaidentTutorial__Sample02__MiFish	20_Scolopsis_ciliata	5051.52168703571
ClaidentTutorial__Sample02__MiFish	42_Cephalopholis_argus	5051.52168703571
ClaidentTutorial__Sample02__MiFish	47_Lepidoblepharon_ophthalmolepis	5051.52168703571
ClaidentTutorial__Sample02__MiFish	05_unidentified_Amblyopinae	5031.15264797508
ClaidentTutorial__Sample02__MiFish	06_unidentified_Symphysodon	5031.15264797508
ClaidentTutorial__Sample02__MiFish	07_unidentified_Osteoglossiformes	5031.15264797508
ClaidentTutorial__Sample02__MiFish	11_Pagellus_bogaraveo	5031.15264797508
ClaidentTutorial__Sample02__MiFish	18_unidentified_Hyporhamphus	5031.15264797508
ClaidentTutorial__Sample02__MiFish	03_Sardina_pilchardus	5010.78360891445
ClaidentTutorial__Sample02__MiFish	26_unidentified_Facciolella	5010.78360891445
ClaidentTutorial__Sample02__MiFish	32_Acanthocepola_krusensternii	5010.78360891445
ClaidentTutorial__Sample02__MiFish	35_unidentified_Pampus	5010.78360891445
ClaidentTutorial__Sample02__MiFish	17_Cynoglossus_abbreviatus	4990.41456985382
ClaidentTutorial__Sample02__MiFish	21_unidentified_Homatula	4990.41456985382
ClaidentTutorial__Sample02__MiFish	01_unidentified_Gastromyzontidae	4970.0455307932
ClaidentTutorial__Sample02__MiFish	24_unidentified_Oreochromini	4949.67649173257
ClaidentTutorial__Sample03__MiFish	51_others	143582.849697975
ClaidentTutorial__Sample03__MiFish	21_unidentified_Homatula	5074.02582020609
ClaidentTutorial__Sample03__MiFish	03_Sardina_pilchardus	5013.62075091792
ClaidentTutorial__Sample03__MiFish	06_unidentified_Symphysodon	4993.48572782187
ClaidentTutorial__Sample03__MiFish	11_Pagellus_bogaraveo	4993.48572782187
ClaidentTutorial__Sample03__MiFish	47_Lepidoblepharon_ophthalmolepis	4993.48572782187
ClaidentTutorial__Sample03__MiFish	18_unidentified_Hyporhamphus	4973.35070472581
ClaidentTutorial__Sample03__MiFish	42_Cephalopholis_argus	4973.35070472581
ClaidentTutorial__Sample03__MiFish	07_unidentified_Osteoglossiformes	4953.21568162975
ClaidentTutorial__Sample03__MiFish	09_Paraconger_notialis	4953.21568162975
ClaidentTutorial__Sample03__MiFish	17_Cynoglossus_abbreviatus	4953.21568162975
ClaidentTutorial__Sample03__MiFish	25_unidentified_Sphyraena	4953.21568162975
ClaidentTutorial__Sample03__MiFish	26_unidentified_Facciolella	4953.21568162975
ClaidentTutorial__Sample03__MiFish	33_unidentified_Channa	4953.21568162975
ClaidentTutorial__Sample03__MiFish	35_unidentified_Pampus	4953.21568162975
ClaidentTutorial__Sample03__MiFish	14_unidentified_Onychostoma	4933.0806585337
ClaidentTutorial__Sample03__MiFish	29_Amblydoras_gonzalezi	4933.0806585337
ClaidentTutorial__Sample03__MiFish	02_Canthophrys_gongota	4912.94563543764
ClaidentTutorial__Sample03__MiFish	05_unidentified_Amblyopinae	4912.94563543764
ClaidentTutorial__Sample03__MiFish	01_unidentified_Gastromyzontidae	4892.81061234159
ClaidentTutorial__Sample03__MiFish	24_unidentified_Oreochromini	4892.81061234159
ClaidentTutorial__Sample03__MiFish	32_Acanthocepola_krusensternii	4852.54056614947
ClaidentTutorial__Sample04__MiFish	51_others	143705.325443787
ClaidentTutorial__Sample04__MiFish	01_unidentified_Gastromyzontidae	5049.70414201183
ClaidentTutorial__Sample04__MiFish	24_unidentified_Oreochromini	5049.70414201183
ClaidentTutorial__Sample04__MiFish	18_unidentified_Hyporhamphus	5029.58579881657
ClaidentTutorial__Sample04__MiFish	21_unidentified_Homatula	5029.58579881657
ClaidentTutorial__Sample04__MiFish	03_Sardina_pilchardus	5009.4674556213
ClaidentTutorial__Sample04__MiFish	19_unidentified_Heniochus	5009.4674556213
ClaidentTutorial__Sample04__MiFish	42_Cephalopholis_argus	5009.4674556213
ClaidentTutorial__Sample04__MiFish	47_Lepidoblepharon_ophthalmolepis	5009.4674556213
ClaidentTutorial__Sample04__MiFish	02_Canthophrys_gongota	4989.34911242604
ClaidentTutorial__Sample04__MiFish	04_Jaydia_lineata	4989.34911242604
ClaidentTutorial__Sample04__MiFish	25_unidentified_Sphyraena	4989.34911242604
ClaidentTutorial__Sample04__MiFish	32_Acanthocepola_krusensternii	4989.34911242604
ClaidentTutorial__Sample04__MiFish	09_Paraconger_notialis	4969.23076923077
ClaidentTutorial__Sample04__MiFish	05_unidentified_Amblyopinae	4949.1124260355
ClaidentTutorial__Sample04__MiFish	06_unidentified_Symphysodon	4949.1124260355
ClaidentTutorial__Sample04__MiFish	14_unidentified_Onychostoma	4949.1124260355
ClaidentTutorial__Sample04__MiFish	26_unidentified_Facciolella	4949.1124260355
ClaidentTutorial__Sample04__MiFish	29_Amblydoras_gonzalezi	4928.99408284024
ClaidentTutorial__Sample04__MiFish	35_unidentified_Pampus	4908.87573964497
ClaidentTutorial__Sample04__MiFish	07_unidentified_Osteoglossiformes	4888.7573964497
ClaidentTutorial__Sample04__MiFish	11_Pagellus_bogaraveo	4888.7573964497
ClaidentTutorial__Sample05__MiFish	51_others	119529.985721085
ClaidentTutorial__Sample05__MiFish	07_unidentified_Osteoglossiformes	5138.02950975726
ClaidentTutorial__Sample05__MiFish	11_Pagellus_bogaraveo	5097.57258448358
ClaidentTutorial__Sample05__MiFish	03_Sardina_pilchardus	5077.34412184674
ClaidentTutorial__Sample05__MiFish	01_unidentified_Gastromyzontidae	5057.1156592099
ClaidentTutorial__Sample05__MiFish	02_Canthophrys_gongota	5057.1156592099
ClaidentTutorial__Sample05__MiFish	05_unidentified_Amblyopinae	5057.1156592099
ClaidentTutorial__Sample05__MiFish	25_unidentified_Sphyraena	5057.1156592099
ClaidentTutorial__Sample05__MiFish	18_unidentified_Hyporhamphus	5036.88719657306
ClaidentTutorial__Sample05__MiFish	19_unidentified_Heniochus	5036.88719657306
ClaidentTutorial__Sample05__MiFish	29_Amblydoras_gonzalezi	5036.88719657306
ClaidentTutorial__Sample05__MiFish	09_Paraconger_notialis	5016.65873393622
ClaidentTutorial__Sample05__MiFish	10_Acanthaphritis_unoorum	5016.65873393622
ClaidentTutorial__Sample05__MiFish	24_unidentified_Oreochromini	5016.65873393622
ClaidentTutorial__Sample05__MiFish	26_unidentified_Facciolella	5016.65873393622
ClaidentTutorial__Sample05__MiFish	31_Solea_senegalensis	5016.65873393622
ClaidentTutorial__Sample05__MiFish	06_unidentified_Symphysodon	4996.43027129938
ClaidentTutorial__Sample05__MiFish	21_unidentified_Homatula	4996.43027129938
ClaidentTutorial__Sample05__MiFish	35_unidentified_Pampus	4996.43027129938
ClaidentTutorial__Sample05__MiFish	47_Lepidoblepharon_ophthalmolepis	4996.43027129938
ClaidentTutorial__Sample05__MiFish	04_Jaydia_lineata	4976.20180866254
ClaidentTutorial__Sample05__MiFish	32_Acanthocepola_krusensternii	4976.20180866254
ClaidentTutorial__Sample05__MiFish	42_Cephalopholis_argus	4976.20180866254
ClaidentTutorial__Sample05__MiFish	14_unidentified_Onychostoma	4955.9733460257
ClaidentTutorial__Sample05__MiFish	46_Acestrorhynchus_sp._NM-2010	4895.28795811518
ClaidentTutorial__Sample05__MiFish	12_Diplacanthopoma_brachysoma	4875.05949547834
ClaidentTutorial__Sample05__MiFish	13_Ponticola_kessleri	4875.05949547834
ClaidentTutorial__Sample06__MiFish	51_others	109548.37176135
ClaidentTutorial__Sample06__MiFish	18_unidentified_Hyporhamphus	5071.30972189208
ClaidentTutorial__Sample06__MiFish	35_unidentified_Pampus	5051.10530068933
ClaidentTutorial__Sample06__MiFish	01_unidentified_Gastromyzontidae	5030.90087948657
ClaidentTutorial__Sample06__MiFish	02_Canthophrys_gongota	5030.90087948657
ClaidentTutorial__Sample06__MiFish	04_Jaydia_lineata	5030.90087948657
ClaidentTutorial__Sample06__MiFish	05_unidentified_Amblyopinae	5030.90087948657
ClaidentTutorial__Sample06__MiFish	11_Pagellus_bogaraveo	5030.90087948657
ClaidentTutorial__Sample06__MiFish	07_unidentified_Osteoglossiformes	5010.69645828381
ClaidentTutorial__Sample06__MiFish	12_Diplacanthopoma_brachysoma	5010.69645828381
ClaidentTutorial__Sample06__MiFish	16_Megalops_atlanticus	5010.69645828381
ClaidentTutorial__Sample06__MiFish	42_Cephalopholis_argus	5010.69645828381
ClaidentTutorial__Sample06__MiFish	24_unidentified_Oreochromini	4990.49203708106
ClaidentTutorial__Sample06__MiFish	25_unidentified_Sphyraena	4990.49203708106
ClaidentTutorial__Sample06__MiFish	26_unidentified_Facciolella	4990.49203708106
ClaidentTutorial__Sample06__MiFish	29_Amblydoras_gonzalezi	4990.49203708106
ClaidentTutorial__Sample06__MiFish	32_Acanthocepola_krusensternii	4990.49203708106
ClaidentTutorial__Sample06__MiFish	46_Acestrorhynchus_sp._NM-2010	4990.49203708106
ClaidentTutorial__Sample06__MiFish	50_unidentified_Mastacembelidae	4990.49203708106
ClaidentTutorial__Sample06__MiFish	03_Sardina_pilchardus	4970.2876158783
ClaidentTutorial__Sample06__MiFish	06_unidentified_Symphysodon	4970.2876158783
ClaidentTutorial__Sample06__MiFish	14_unidentified_Onychostoma	4970.2876158783
ClaidentTutorial__Sample06__MiFish	13_Ponticola_kessleri	4950.08319467554
ClaidentTutorial__Sample06__MiFish	19_unidentified_Heniochus	4950.08319467554
ClaidentTutorial__Sample06__MiFish	31_Solea_senegalensis	4950.08319467554
ClaidentTutorial__Sample06__MiFish	47_Lepidoblepharon_ophthalmolepis	4950.08319467554
ClaidentTutorial__Sample06__MiFish	10_Acanthaphritis_unoorum	4909.67435227003
ClaidentTutorial__Sample06__MiFish	21_unidentified_Homatula	4889.46993106727
ClaidentTutorial__Sample06__MiFish	09_Paraconger_notialis	4828.856667459
ClaidentTutorial__Sample07__MiFish	51_others	100004.790419162
ClaidentTutorial__Sample07__MiFish	05_unidentified_Amblyopinae	5171.25748502994
ClaidentTutorial__Sample07__MiFish	19_unidentified_Heniochus	5110.17964071856
ClaidentTutorial__Sample07__MiFish	11_Pagellus_bogaraveo	5089.82035928144
ClaidentTutorial__Sample07__MiFish	29_Amblydoras_gonzalezi	5089.82035928144
ClaidentTutorial__Sample07__MiFish	01_unidentified_Gastromyzontidae	5069.46107784431
ClaidentTutorial__Sample07__MiFish	08_Odontobutis_haifengensis	5069.46107784431
ClaidentTutorial__Sample07__MiFish	14_unidentified_Onychostoma	5069.46107784431
ClaidentTutorial__Sample07__MiFish	17_Cynoglossus_abbreviatus	5069.46107784431
ClaidentTutorial__Sample07__MiFish	09_Paraconger_notialis	5049.10179640719
ClaidentTutorial__Sample07__MiFish	13_Ponticola_kessleri	5049.10179640719
ClaidentTutorial__Sample07__MiFish	15_Eumegistus_illustris	5049.10179640719
ClaidentTutorial__Sample07__MiFish	18_unidentified_Hyporhamphus	5049.10179640719
ClaidentTutorial__Sample07__MiFish	03_Sardina_pilchardus	5028.74251497006
ClaidentTutorial__Sample07__MiFish	04_Jaydia_lineata	5028.74251497006
ClaidentTutorial__Sample07__MiFish	10_Acanthaphritis_unoorum	5028.74251497006
ClaidentTutorial__Sample07__MiFish	12_Diplacanthopoma_brachysoma	5028.74251497006
ClaidentTutorial__Sample07__MiFish	24_unidentified_Oreochromini	5028.74251497006
ClaidentTutorial__Sample07__MiFish	02_Canthophrys_gongota	5008.38323353293
ClaidentTutorial__Sample07__MiFish	16_Megalops_atlanticus	5008.38323353293
ClaidentTutorial__Sample07__MiFish	21_unidentified_Homatula	5008.38323353293
ClaidentTutorial__Sample07__MiFish	25_unidentified_Sphyraena	5008.38323353293
ClaidentTutorial__Sample07__MiFish	26_unidentified_Facciolella	5008.38323353293
ClaidentTutorial__Sample07__MiFish	35_unidentified_Pampus	5008.38323353293
ClaidentTutorial__Sample07__MiFish	46_Acestrorhynchus_sp._NM-2010	5008.38323353293
ClaidentTutorial__Sample07__MiFish	50_unidentified_Mastacembelidae	5008.38323353293
ClaidentTutorial__Sample07__MiFish	31_Solea_senegalensis	4988.02395209581
ClaidentTutorial__Sample07__MiFish	47_Lepidoblepharon_ophthalmolepis	4988.02395209581
ClaidentTutorial__Sample07__MiFish	07_unidentified_Osteoglossiformes	4967.66467065868
ClaidentTutorial__Sample07__MiFish	42_Cephalopholis_argus	4967.66467065868
ClaidentTutorial__Sample07__MiFish	06_unidentified_Symphysodon	4947.30538922156
ClaidentTutorial__Sample08__MiFish	51_others	103864.334672654
ClaidentTutorial__Sample08__MiFish	01_unidentified_Gastromyzontidae	5062.63294729378
ClaidentTutorial__Sample08__MiFish	26_unidentified_Facciolella	5062.63294729378
ClaidentTutorial__Sample08__MiFish	12_Diplacanthopoma_brachysoma	5042.54313401087
ClaidentTutorial__Sample08__MiFish	11_Pagellus_bogaraveo	5022.45332072796
ClaidentTutorial__Sample08__MiFish	13_Ponticola_kessleri	5022.45332072796
ClaidentTutorial__Sample08__MiFish	06_unidentified_Symphysodon	5002.36350744505
ClaidentTutorial__Sample08__MiFish	04_Jaydia_lineata	4982.27369416214
ClaidentTutorial__Sample08__MiFish	24_unidentified_Oreochromini	4982.27369416214
ClaidentTutorial__Sample08__MiFish	31_Solea_senegalensis	4982.27369416214
ClaidentTutorial__Sample08__MiFish	39_Etheostoma_trisella	4982.27369416214
ClaidentTutorial__Sample08__MiFish	03_Sardina_pilchardus	4962.18388087922
ClaidentTutorial__Sample08__MiFish	09_Paraconger_notialis	4962.18388087922
ClaidentTutorial__Sample08__MiFish	19_unidentified_Heniochus	4962.18388087922
ClaidentTutorial__Sample08__MiFish	29_Amblydoras_gonzalezi	4962.18388087922
ClaidentTutorial__Sample08__MiFish	38_Eleutheronema_tetradactylum	4962.18388087922
ClaidentTutorial__Sample08__MiFish	08_Odontobutis_haifengensis	4942.09406759631
ClaidentTutorial__Sample08__MiFish	15_Eumegistus_illustris	4942.09406759631
ClaidentTutorial__Sample08__MiFish	16_Megalops_atlanticus	4942.09406759631
ClaidentTutorial__Sample08__MiFish	17_Cynoglossus_abbreviatus	4942.09406759631
ClaidentTutorial__Sample08__MiFish	21_unidentified_Homatula	4942.09406759631
ClaidentTutorial__Sample08__MiFish	46_Acestrorhynchus_sp._NM-2010	4942.09406759631
ClaidentTutorial__Sample08__MiFish	02_Canthophrys_gongota	4922.0042543134
ClaidentTutorial__Sample08__MiFish	25_unidentified_Sphyraena	4922.0042543134
ClaidentTutorial__Sample08__MiFish	05_unidentified_Amblyopinae	4901.91444103049
ClaidentTutorial__Sample08__MiFish	14_unidentified_Onychostoma	4901.91444103049
ClaidentTutorial__Sample08__MiFish	07_unidentified_Osteoglossiformes	4881.82462774758
ClaidentTutorial__Sample08__MiFish	35_unidentified_Pampus	4881.82462774758
ClaidentTutorial__Sample08__MiFish	50_unidentified_Mastacembelidae	4881.82462774758
ClaidentTutorial__Sample08__MiFish	10_Acanthaphritis_unoorum	4841.64500118175
ClaidentTutorial__Sample09__MiFish	51_others	89417.2909977405
