samplename	MiFish_STD_01	MiFish_STD_02	MiFish_STD_03	MiFish_STD_04-2
ClaidentTutorial__Sample01__MiFish	96	196	396	808
ClaidentTutorial__Sample02__MiFish	98	201	398	790
ClaidentTutorial__Sample03__MiFish	100	199	404	805
ClaidentTutorial__Sample04__MiFish	101	196	393	800
ClaidentTutorial__Sample05__MiFish	101	198	399	785
ClaidentTutorial__Sample06__MiFish	97	200	394	800
ClaidentTutorial__Sample07__MiFish	97	197	393	795
ClaidentTutorial__Sample08__MiFish	97	193	398	806
ClaidentTutorial__Sample09__MiFish	97	200	393	802
ClaidentTutorial__Sample10__MiFish	100	197	393	801
ClaidentTutorial__Sample11__MiFish	99	202	396	794
ClaidentTutorial__Sample12__MiFish	100	199	392	805
ClaidentTutorial__Sample13__MiFish	101	199	397	798
ClaidentTutorial__Sample14__MiFish	99	200	393	797
ClaidentTutorial__Sample15__MiFish	97	201	396	796
ClaidentTutorial__Sample16__MiFish	101	199	396	801
ClaidentTutorial__Sample17__MiFish	98	201	392	802
ClaidentTutorial__Sample18__MiFish	101	198	399	794
ClaidentTutorial__Sample19__MiFish	99	197	391	798
ClaidentTutorial__Sample20__MiFish	98	198	392	794
