samplename	species	nreads
ClaidentTutorial__Sample01__MiFish	51_others	41.6711221823926
ClaidentTutorial__Sample01__MiFish	01_unidentified_Euteleosteomorpha	3.57372865909229
ClaidentTutorial__Sample01__MiFish	22_Amia_calva	2.73193997205177
ClaidentTutorial__Sample01__MiFish	32_unidentified_Priacanthus	2.45822954006926
ClaidentTutorial__Sample01__MiFish	08_unidentified_Chrysichthys	2.44790084452275
ClaidentTutorial__Sample01__MiFish	40_Synanceia_verrucosa	2.31879215019138
ClaidentTutorial__Sample01__MiFish	35_Trichonotus_elegans	2.17419041254025
ClaidentTutorial__Sample01__MiFish	46_Hemigrammus_bleheri	2.02442432711586
ClaidentTutorial__Sample01__MiFish	12_Cirrhitichthys_aprinus	1.98310954492983
ClaidentTutorial__Sample01__MiFish	28_unidentified_Aphyosemion	1.92630171942402
ClaidentTutorial__Sample01__MiFish	48_unidentified_Chlorophthalmus	1.83850780727869
ClaidentTutorial__Sample01__MiFish	07_unidentified_Xiphophorus	1.82301476395893
ClaidentTutorial__Sample01__MiFish	30_Cynoponticus_ferox	1.78686432954615
ClaidentTutorial__Sample01__MiFish	49_unidentified_Gobionellinae	1.76104259067987
ClaidentTutorial__Sample01__MiFish	11_unidentified_Elops	1.75587824290662
ClaidentTutorial__Sample01__MiFish	44_unidentified_Callionymidae	1.74554954736011
ClaidentTutorial__Sample01__MiFish	26_Arnoglossus_tenuis	1.65259128744152
ClaidentTutorial__Sample01__MiFish	05_unidentified_Electrona	1.64226259189501
ClaidentTutorial__Sample01__MiFish	15_unidentified_Rhodeus	1.45634607205784
ClaidentTutorial__Sample01__MiFish	16_Jenkinsia_lamprotaenia	1.43052433319157
ClaidentTutorial__Sample01__MiFish	23_unidentified_Engraulinae	1.21878607448812
ClaidentTutorial__Sample01__MiFish	14_unidentified_Synaphobranchus	1.18263564007534
ClaidentTutorial__Sample01__MiFish	02_unidentified_Gobiopterus	1.10517042347652
ClaidentTutorial__Sample01__MiFish	21_unidentified_Linophrynidae	0.986390424691658
ClaidentTutorial__Sample01__MiFish	20_Samariscus_latus	0.95540433805213
ClaidentTutorial__Sample01__MiFish	24_Henicorhynchus_siamensis	0.94507564250562
ClaidentTutorial__Sample01__MiFish	10_unidentified_Danioninae	0.903760860319582
ClaidentTutorial__Sample02__MiFish	51_others	33.7872226835924
ClaidentTutorial__Sample02__MiFish	01_unidentified_Euteleosteomorpha	4.33622019219362
ClaidentTutorial__Sample02__MiFish	17_unidentified_Aspasma	4.11436706608139
ClaidentTutorial__Sample02__MiFish	38_Monopterus_albus	2.62694269782892
ClaidentTutorial__Sample02__MiFish	10_unidentified_Danioninae	2.35971052319374
ClaidentTutorial__Sample02__MiFish	14_unidentified_Synaphobranchus	2.16811009609681
ClaidentTutorial__Sample02__MiFish	36_unidentified_Conger	2.08239411555345
ClaidentTutorial__Sample02__MiFish	21_unidentified_Linophrynidae	2.0773519990509
ClaidentTutorial__Sample02__MiFish	11_unidentified_Elops	1.94121485348203
ClaidentTutorial__Sample02__MiFish	30_Cynoponticus_ferox	1.92608850397437
ClaidentTutorial__Sample02__MiFish	33_Salarias_fasciatus	1.91096215446672
ClaidentTutorial__Sample02__MiFish	35_Trichonotus_elegans	1.88070945545142
ClaidentTutorial__Sample02__MiFish	40_Synanceia_verrucosa	1.85549887293866
ClaidentTutorial__Sample02__MiFish	15_unidentified_Rhodeus	1.82020405742081
ClaidentTutorial__Sample02__MiFish	24_Henicorhynchus_siamensis	1.78490924190295
ClaidentTutorial__Sample02__MiFish	12_Cirrhitichthys_aprinus	1.69415114485704
ClaidentTutorial__Sample02__MiFish	34_unidentified_Osteoglossiformes	1.60843516431368
ClaidentTutorial__Sample02__MiFish	44_unidentified_Callionymidae	1.60843516431368
ClaidentTutorial__Sample02__MiFish	46_Hemigrammus_bleheri	1.60843516431368
ClaidentTutorial__Sample02__MiFish	07_unidentified_Xiphophorus	1.50255071776011
ClaidentTutorial__Sample02__MiFish	16_Jenkinsia_lamprotaenia	1.49246648475501
ClaidentTutorial__Sample02__MiFish	08_unidentified_Chrysichthys	1.47734013524736
ClaidentTutorial__Sample02__MiFish	49_unidentified_Gobionellinae	1.35128722268359
ClaidentTutorial__Sample02__MiFish	20_Samariscus_latus	1.30086605765809
ClaidentTutorial__Sample02__MiFish	23_unidentified_Engraulinae	1.19498161110452
ClaidentTutorial__Sample02__MiFish	02_unidentified_Gobiopterus	1.09413928105351
ClaidentTutorial__Sample02__MiFish	26_Arnoglossus_tenuis	0.988254834499941
ClaidentTutorial__Sample02__MiFish	48_unidentified_Chlorophthalmus	0.857159805433622
ClaidentTutorial__Sample03__MiFish	51_others	39.9949290060852
ClaidentTutorial__Sample03__MiFish	01_unidentified_Euteleosteomorpha	3.15415821501015
ClaidentTutorial__Sample03__MiFish	43_unidentified_Harpadontinae	2.81440162271805
ClaidentTutorial__Sample03__MiFish	11_unidentified_Elops	2.46957403651116
ClaidentTutorial__Sample03__MiFish	18_Pseudorhombus_dupliciocellatus	2.32251521298174
ClaidentTutorial__Sample03__MiFish	48_unidentified_Chlorophthalmus	2.25152129817444
ClaidentTutorial__Sample03__MiFish	20_Samariscus_latus	1.99290060851927
ClaidentTutorial__Sample03__MiFish	24_Henicorhynchus_siamensis	1.96754563894523
ClaidentTutorial__Sample03__MiFish	16_Jenkinsia_lamprotaenia	1.91176470588235
ClaidentTutorial__Sample03__MiFish	23_unidentified_Engraulinae	1.87119675456389
ClaidentTutorial__Sample03__MiFish	36_unidentified_Conger	1.86612576064909
ClaidentTutorial__Sample03__MiFish	44_unidentified_Callionymidae	1.82555780933063
ClaidentTutorial__Sample03__MiFish	41_Latimeria_chalumnae	1.81034482758621
ClaidentTutorial__Sample03__MiFish	39_Spratelloides_delicatulus	1.67342799188641
ClaidentTutorial__Sample03__MiFish	07_unidentified_Xiphophorus	1.60243407707911
ClaidentTutorial__Sample03__MiFish	12_Cirrhitichthys_aprinus	1.60243407707911
