ClaidentTutorial__Sample01__MiFish	200	200
ClaidentTutorial__Sample02__MiFish	200	200
ClaidentTutorial__Sample03__MiFish	200	200
ClaidentTutorial__Sample04__MiFish	200	200
ClaidentTutorial__Sample05__MiFish	200	200
ClaidentTutorial__Sample06__MiFish	200	200
ClaidentTutorial__Sample07__MiFish	200	200
ClaidentTutorial__Sample08__MiFish	200	200
ClaidentTutorial__Sample09__MiFish	200	200
ClaidentTutorial__Sample10__MiFish	200	200
ClaidentTutorial__Sample11__MiFish	200	200
ClaidentTutorial__Sample12__MiFish	200	200
ClaidentTutorial__Sample13__MiFish	200	200
ClaidentTutorial__Sample14__MiFish	200
ClaidentTutorial__Sample15__MiFish	200	200
ClaidentTutorial__Sample16__MiFish	200	200
ClaidentTutorial__Sample17__MiFish	200	200
ClaidentTutorial__Sample18__MiFish	200	200
ClaidentTutorial__Sample19__MiFish	200	200
ClaidentTutorial__Sample20__MiFish	200	200
ClaidentTutorial__Blank01__MiFish	200
ClaidentTutorial__Blank02__MiFish	200
ClaidentTutorial__Blank03__MiFish	200
ClaidentTutorial__Blank04__MiFish	200
