samplename	species	nreads
ClaidentTutorial__Sample01__MiFish	001_unidentified_Gastromyzontidae	228
ClaidentTutorial__Sample01__MiFish	003_Sardina_pilchardus	227
ClaidentTutorial__Sample01__MiFish	005_unidentified_Amblyopinae	221
ClaidentTutorial__Sample01__MiFish	008_unidentified_Symphysodon	224
ClaidentTutorial__Sample01__MiFish	009_unidentified_Osteoglossiformes	229
ClaidentTutorial__Sample01__MiFish	012_unidentified_Onychostoma	225
ClaidentTutorial__Sample01__MiFish	014_Cynoglossus_abbreviatus	226
ClaidentTutorial__Sample01__MiFish	018_unidentified_Hyporhamphus	227
ClaidentTutorial__Sample01__MiFish	020_unidentified_Homatula	226
ClaidentTutorial__Sample01__MiFish	021_Scolopsis_ciliata	227
ClaidentTutorial__Sample01__MiFish	024_unidentified_Oreochromini	237
ClaidentTutorial__Sample01__MiFish	027_unidentified_Facciolella	230
ClaidentTutorial__Sample01__MiFish	028_Acanthocepola_krusensternii	225
ClaidentTutorial__Sample01__MiFish	029_Amblydoras_gonzalezi	229
ClaidentTutorial__Sample01__MiFish	030_unidentified_Channa	227
ClaidentTutorial__Sample01__MiFish	042_Cephalopholis_argus	233
ClaidentTutorial__Sample01__MiFish	045_Lepidoblepharon_ophthalmolepis	226
ClaidentTutorial__Sample01__MiFish	050_unidentified_Chaetobranchopsis	229
ClaidentTutorial__Sample01__MiFish	055_Polymixia_japonica	230
ClaidentTutorial__Sample01__MiFish	058_unidentified_Megaleporinus	234
ClaidentTutorial__Sample01__MiFish	062_unidentified_Carapus	230
ClaidentTutorial__Sample01__MiFish	067_unidentified_Sabanejewia	222
ClaidentTutorial__Sample01__MiFish	068_Nothobranchius_kafuensis	221
ClaidentTutorial__Sample01__MiFish	069_Plectropomus_areolatus	228
ClaidentTutorial__Sample01__MiFish	078_unidentified_Hime	223
ClaidentTutorial__Sample01__MiFish	089_Trachidermus_fasciatus	241
ClaidentTutorial__Sample01__MiFish	094_Acentrogobius_pflaumii	230
ClaidentTutorial__Sample01__MiFish	097_Hoplolatilus_cuniculus	230
ClaidentTutorial__Sample01__MiFish	099_unidentified_Tetraodontidae	224
ClaidentTutorial__Sample01__MiFish	102_Doederleinia_berycoides	224
ClaidentTutorial__Sample01__MiFish	118_unidentified_Callionymidae	230
ClaidentTutorial__Sample01__MiFish	121_unidentified_Syncrossus	229
ClaidentTutorial__Sample01__MiFish	129_Triplophysa_rosa	227
ClaidentTutorial__Sample01__MiFish	130_unidentified_Pseudorhombus	224
ClaidentTutorial__Sample01__MiFish	139_unidentified_Sciaenidae	222
ClaidentTutorial__Sample01__MiFish	143_Monotaxis_grandoculis	236
ClaidentTutorial__Sample01__MiFish	145_Anyperodon_leucogrammicus	230
ClaidentTutorial__Sample01__MiFish	151_Rhynchactis_macrothrix	231
ClaidentTutorial__Sample01__MiFish	157_Ichthyborus_ornatus	227
ClaidentTutorial__Sample01__MiFish	162_Pythonichthys_microphthalmus	218
ClaidentTutorial__Sample01__MiFish	172_unidentified_Diceratiidae	229
ClaidentTutorial__Sample01__MiFish	175_Clupeichthys_perakensis	228
ClaidentTutorial__Sample01__MiFish	176_unidentified_Laeops	228
ClaidentTutorial__Sample01__MiFish	178_Gudusia_chapra	227
ClaidentTutorial__Sample01__MiFish	180_Halichoeres_tenuispinis	227
ClaidentTutorial__Sample01__MiFish	184_unidentified_Cottiusculus	226
ClaidentTutorial__Sample01__MiFish	185_unidentified_Characidae	226
ClaidentTutorial__Sample01__MiFish	186_unidentified_Symphurus	226
ClaidentTutorial__Sample01__MiFish	196_Mugilogobius_chulae	222
ClaidentTutorial__Sample01__MiFish	198_Danio_rerio	221
ClaidentTutorial__Sample02__MiFish	001_unidentified_Gastromyzontidae	218
ClaidentTutorial__Sample02__MiFish	003_Sardina_pilchardus	226
ClaidentTutorial__Sample02__MiFish	005_unidentified_Amblyopinae	233
ClaidentTutorial__Sample02__MiFish	008_unidentified_Symphysodon	224
ClaidentTutorial__Sample02__MiFish	009_unidentified_Osteoglossiformes	231
ClaidentTutorial__Sample02__MiFish	011_Pagellus_bogaraveo	232
ClaidentTutorial__Sample02__MiFish	012_unidentified_Onychostoma	233
ClaidentTutorial__Sample02__MiFish	014_Cynoglossus_abbreviatus	233
ClaidentTutorial__Sample02__MiFish	018_unidentified_Hyporhamphus	227
ClaidentTutorial__Sample02__MiFish	020_unidentified_Homatula	235
ClaidentTutorial__Sample02__MiFish	021_Scolopsis_ciliata	220
ClaidentTutorial__Sample02__MiFish	024_unidentified_Oreochromini	230
ClaidentTutorial__Sample02__MiFish	027_unidentified_Facciolella	230
ClaidentTutorial__Sample02__MiFish	028_Acanthocepola_krusensternii	224
ClaidentTutorial__Sample02__MiFish	029_Amblydoras_gonzalezi	228
ClaidentTutorial__Sample02__MiFish	030_unidentified_Channa	451
ClaidentTutorial__Sample02__MiFish	037_unidentified_Pampus	224
ClaidentTutorial__Sample02__MiFish	042_Cephalopholis_argus	235
ClaidentTutorial__Sample02__MiFish	043_Pantodon_buchholzi	229
ClaidentTutorial__Sample02__MiFish	045_Lepidoblepharon_ophthalmolepis	214
ClaidentTutorial__Sample02__MiFish	050_unidentified_Chaetobranchopsis	231
ClaidentTutorial__Sample02__MiFish	055_Polymixia_japonica	228
ClaidentTutorial__Sample02__MiFish	058_unidentified_Megaleporinus	226
ClaidentTutorial__Sample02__MiFish	062_unidentified_Carapus	224
ClaidentTutorial__Sample02__MiFish	067_unidentified_Sabanejewia	220
ClaidentTutorial__Sample02__MiFish	068_Nothobranchius_kafuensis	222
ClaidentTutorial__Sample02__MiFish	069_Plectropomus_areolatus	227
ClaidentTutorial__Sample02__MiFish	078_unidentified_Hime	223
ClaidentTutorial__Sample02__MiFish	081_Halichoeres_hartzfeldii	231
ClaidentTutorial__Sample02__MiFish	089_Trachidermus_fasciatus	224
ClaidentTutorial__Sample02__MiFish	094_Acentrogobius_pflaumii	228
ClaidentTutorial__Sample02__MiFish	097_Hoplolatilus_cuniculus	220
ClaidentTutorial__Sample02__MiFish	099_unidentified_Tetraodontidae	228
ClaidentTutorial__Sample02__MiFish	102_Doederleinia_berycoides	228
ClaidentTutorial__Sample02__MiFish	104_Procetichthys_kreffti	217
ClaidentTutorial__Sample02__MiFish	118_unidentified_Callionymidae	225
ClaidentTutorial__Sample02__MiFish	121_unidentified_Syncrossus	226
ClaidentTutorial__Sample02__MiFish	124_unidentified_Heterocongrinae	229
ClaidentTutorial__Sample02__MiFish	129_Triplophysa_rosa	223
ClaidentTutorial__Sample02__MiFish	130_unidentified_Pseudorhombus	221
ClaidentTutorial__Sample02__MiFish	139_unidentified_Sciaenidae	225
ClaidentTutorial__Sample02__MiFish	143_Monotaxis_grandoculis	226
ClaidentTutorial__Sample02__MiFish	145_Anyperodon_leucogrammicus	229
ClaidentTutorial__Sample02__MiFish	151_Rhynchactis_macrothrix	221
ClaidentTutorial__Sample02__MiFish	157_Ichthyborus_ornatus	221
ClaidentTutorial__Sample02__MiFish	162_Pythonichthys_microphthalmus	221
ClaidentTutorial__Sample02__MiFish	163_unidentified_Lepomis	233
ClaidentTutorial__Sample02__MiFish	195_Ateleopus_japonicus	223
ClaidentTutorial__Sample02__MiFish	203_Acentrogobius_caninus	220
ClaidentTutorial__Sample03__MiFish	001_unidentified_Gastromyzontidae	230
ClaidentTutorial__Sample03__MiFish	002_Canthophrys_gongota	223
ClaidentTutorial__Sample03__MiFish	003_Sardina_pilchardus	226
ClaidentTutorial__Sample03__MiFish	005_unidentified_Amblyopinae	227
ClaidentTutorial__Sample03__MiFish	006_Paraconger_notialis	225
ClaidentTutorial__Sample03__MiFish	008_unidentified_Symphysodon	229
ClaidentTutorial__Sample03__MiFish	009_unidentified_Osteoglossiformes	231
ClaidentTutorial__Sample03__MiFish	011_Pagellus_bogaraveo	230
ClaidentTutorial__Sample03__MiFish	012_unidentified_Onychostoma	232
ClaidentTutorial__Sample03__MiFish	014_Cynoglossus_abbreviatus	235
ClaidentTutorial__Sample03__MiFish	018_unidentified_Hyporhamphus	226
ClaidentTutorial__Sample03__MiFish	020_unidentified_Homatula	224
ClaidentTutorial__Sample03__MiFish	023_unidentified_Sphyraena	226
ClaidentTutorial__Sample03__MiFish	024_unidentified_Oreochromini	231
ClaidentTutorial__Sample03__MiFish	027_unidentified_Facciolella	225
ClaidentTutorial__Sample03__MiFish	028_Acanthocepola_krusensternii	228
ClaidentTutorial__Sample03__MiFish	029_Amblydoras_gonzalezi	235
ClaidentTutorial__Sample03__MiFish	030_unidentified_Channa	231
ClaidentTutorial__Sample03__MiFish	037_unidentified_Pampus	231
ClaidentTutorial__Sample03__MiFish	042_Cephalopholis_argus	221
ClaidentTutorial__Sample03__MiFish	043_Pantodon_buchholzi	226
ClaidentTutorial__Sample03__MiFish	045_Lepidoblepharon_ophthalmolepis	230
ClaidentTutorial__Sample03__MiFish	050_unidentified_Chaetobranchopsis	232
ClaidentTutorial__Sample03__MiFish	055_Polymixia_japonica	228
ClaidentTutorial__Sample03__MiFish	056_unidentified_Aspasma	231
ClaidentTutorial__Sample03__MiFish	058_unidentified_Megaleporinus	229
ClaidentTutorial__Sample03__MiFish	062_unidentified_Carapus	228
ClaidentTutorial__Sample03__MiFish	067_unidentified_Sabanejewia	226
ClaidentTutorial__Sample03__MiFish	068_Nothobranchius_kafuensis	227
ClaidentTutorial__Sample03__MiFish	069_Plectropomus_areolatus	232
ClaidentTutorial__Sample03__MiFish	078_unidentified_Hime	229
ClaidentTutorial__Sample03__MiFish	081_Halichoeres_hartzfeldii	223
ClaidentTutorial__Sample03__MiFish	089_Trachidermus_fasciatus	227
ClaidentTutorial__Sample03__MiFish	094_Acentrogobius_pflaumii	227
ClaidentTutorial__Sample03__MiFish	097_Hoplolatilus_cuniculus	227
ClaidentTutorial__Sample03__MiFish	099_unidentified_Tetraodontidae	229
ClaidentTutorial__Sample03__MiFish	102_Doederleinia_berycoides	225
ClaidentTutorial__Sample03__MiFish	104_Procetichthys_kreffti	231
ClaidentTutorial__Sample03__MiFish	105_Amblypharyngodon_mola	224
ClaidentTutorial__Sample03__MiFish	113_Gymnorhamphichthys_sp._NM-2010	226
ClaidentTutorial__Sample03__MiFish	118_unidentified_Callionymidae	228
ClaidentTutorial__Sample03__MiFish	120_Eleginops_maclovinus	225
ClaidentTutorial__Sample03__MiFish	121_unidentified_Syncrossus	226
ClaidentTutorial__Sample03__MiFish	122_Cromileptes_altivelis	225
ClaidentTutorial__Sample03__MiFish	124_unidentified_Heterocongrinae	227
ClaidentTutorial__Sample03__MiFish	129_Triplophysa_rosa	226
ClaidentTutorial__Sample03__MiFish	130_unidentified_Pseudorhombus	231
ClaidentTutorial__Sample03__MiFish	139_unidentified_Sciaenidae	222
ClaidentTutorial__Sample03__MiFish	141_unidentified_Pervagor	232
ClaidentTutorial__Sample03__MiFish	206_Rhinichthys_atratulus	218
ClaidentTutorial__Sample04__MiFish	001_unidentified_Gastromyzontidae	225
ClaidentTutorial__Sample04__MiFish	002_Canthophrys_gongota	228
ClaidentTutorial__Sample04__MiFish	003_Sardina_pilchardus	218
ClaidentTutorial__Sample04__MiFish	004_Jaydia_lineata	235
ClaidentTutorial__Sample04__MiFish	005_unidentified_Amblyopinae	226
ClaidentTutorial__Sample04__MiFish	006_Paraconger_notialis	225
ClaidentTutorial__Sample04__MiFish	008_unidentified_Symphysodon	234
ClaidentTutorial__Sample04__MiFish	009_unidentified_Osteoglossiformes	233
ClaidentTutorial__Sample04__MiFish	011_Pagellus_bogaraveo	234
ClaidentTutorial__Sample04__MiFish	012_unidentified_Onychostoma	224
ClaidentTutorial__Sample04__MiFish	018_unidentified_Hyporhamphus	231
ClaidentTutorial__Sample04__MiFish	019_unidentified_Heniochus	230
ClaidentTutorial__Sample04__MiFish	020_unidentified_Homatula	228
ClaidentTutorial__Sample04__MiFish	023_unidentified_Sphyraena	226
ClaidentTutorial__Sample04__MiFish	024_unidentified_Oreochromini	228
ClaidentTutorial__Sample04__MiFish	027_unidentified_Facciolella	224
ClaidentTutorial__Sample04__MiFish	028_Acanthocepola_krusensternii	235
ClaidentTutorial__Sample04__MiFish	029_Amblydoras_gonzalezi	229
ClaidentTutorial__Sample04__MiFish	037_unidentified_Pampus	228
ClaidentTutorial__Sample04__MiFish	042_Cephalopholis_argus	218
ClaidentTutorial__Sample04__MiFish	043_Pantodon_buchholzi	233
ClaidentTutorial__Sample04__MiFish	045_Lepidoblepharon_ophthalmolepis	238
ClaidentTutorial__Sample04__MiFish	050_unidentified_Chaetobranchopsis	222
ClaidentTutorial__Sample04__MiFish	055_Polymixia_japonica	230
ClaidentTutorial__Sample04__MiFish	056_unidentified_Aspasma	228
ClaidentTutorial__Sample04__MiFish	058_unidentified_Megaleporinus	223
ClaidentTutorial__Sample04__MiFish	062_unidentified_Carapus	224
ClaidentTutorial__Sample04__MiFish	067_unidentified_Sabanejewia	225
ClaidentTutorial__Sample04__MiFish	068_Nothobranchius_kafuensis	222
ClaidentTutorial__Sample04__MiFish	069_Plectropomus_areolatus	228
ClaidentTutorial__Sample04__MiFish	073_Pteraclis_aesticola	225
ClaidentTutorial__Sample04__MiFish	074_Monopterus_albus	232
ClaidentTutorial__Sample04__MiFish	075_Paraluteres_prionurus	225
ClaidentTutorial__Sample04__MiFish	077_Arripis_trutta	224
ClaidentTutorial__Sample04__MiFish	078_unidentified_Hime	228
ClaidentTutorial__Sample04__MiFish	081_Halichoeres_hartzfeldii	226
ClaidentTutorial__Sample04__MiFish	088_unidentified_Glossogobius	223
ClaidentTutorial__Sample04__MiFish	089_Trachidermus_fasciatus	228
ClaidentTutorial__Sample04__MiFish	094_Acentrogobius_pflaumii	226
ClaidentTutorial__Sample04__MiFish	097_Hoplolatilus_cuniculus	228
ClaidentTutorial__Sample04__MiFish	102_Doederleinia_berycoides	226
ClaidentTutorial__Sample04__MiFish	104_Procetichthys_kreffti	225
ClaidentTutorial__Sample04__MiFish	105_Amblypharyngodon_mola	228
ClaidentTutorial__Sample04__MiFish	120_Eleginops_maclovinus	224
ClaidentTutorial__Sample04__MiFish	122_Cromileptes_altivelis	231
ClaidentTutorial__Sample04__MiFish	124_unidentified_Heterocongrinae	224
ClaidentTutorial__Sample04__MiFish	141_unidentified_Pervagor	232
ClaidentTutorial__Sample04__MiFish	148_Lophiogobius_ocellicauda	226
ClaidentTutorial__Sample04__MiFish	154_unidentified_Hiodon	224
ClaidentTutorial__Sample04__MiFish	182_Stephanolepis_cirrhifer	226
ClaidentTutorial__Sample05__MiFish	001_unidentified_Gastromyzontidae	226
ClaidentTutorial__Sample05__MiFish	002_Canthophrys_gongota	233
ClaidentTutorial__Sample05__MiFish	003_Sardina_pilchardus	223
ClaidentTutorial__Sample05__MiFish	004_Jaydia_lineata	232
ClaidentTutorial__Sample05__MiFish	005_unidentified_Amblyopinae	232
ClaidentTutorial__Sample05__MiFish	006_Paraconger_notialis	238
ClaidentTutorial__Sample05__MiFish	008_unidentified_Symphysodon	224
ClaidentTutorial__Sample05__MiFish	009_unidentified_Osteoglossiformes	220
ClaidentTutorial__Sample05__MiFish	010_Acanthaphritis_unoorum	222
ClaidentTutorial__Sample05__MiFish	011_Pagellus_bogaraveo	221
ClaidentTutorial__Sample05__MiFish	012_unidentified_Onychostoma	227
ClaidentTutorial__Sample05__MiFish	015_Diplacanthopoma_brachysoma	223
ClaidentTutorial__Sample05__MiFish	016_Ponticola_kessleri	223
ClaidentTutorial__Sample05__MiFish	018_unidentified_Hyporhamphus	232
ClaidentTutorial__Sample05__MiFish	019_unidentified_Heniochus	230
ClaidentTutorial__Sample05__MiFish	020_unidentified_Homatula	233
ClaidentTutorial__Sample05__MiFish	023_unidentified_Sphyraena	231
ClaidentTutorial__Sample05__MiFish	024_unidentified_Oreochromini	223
ClaidentTutorial__Sample05__MiFish	027_unidentified_Facciolella	226
ClaidentTutorial__Sample05__MiFish	028_Acanthocepola_krusensternii	223
ClaidentTutorial__Sample05__MiFish	029_Amblydoras_gonzalezi	227
ClaidentTutorial__Sample05__MiFish	033_Solea_senegalensis	233
ClaidentTutorial__Sample05__MiFish	037_unidentified_Pampus	222
ClaidentTutorial__Sample05__MiFish	041_Acestrorhynchus_sp._NM-2010	225
ClaidentTutorial__Sample05__MiFish	042_Cephalopholis_argus	229
ClaidentTutorial__Sample05__MiFish	043_Pantodon_buchholzi	228
ClaidentTutorial__Sample05__MiFish	045_Lepidoblepharon_ophthalmolepis	229
ClaidentTutorial__Sample05__MiFish	050_unidentified_Chaetobranchopsis	221
ClaidentTutorial__Sample05__MiFish	055_Polymixia_japonica	228
