0.0245	denoised_001	MW366639_71_1026	AP012115_70_1026	AP012115_70_1026	78.8	76.4	77.0	94.5	77.0	3	0	7	4	0	28	1.8	N
0.0000	denoised_002	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_003	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_004	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_005	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_010	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_006	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_007	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_008	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_011	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_012	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_018	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0519	denoised_016	KJ168065_69_1026	KJ168066_65_1019	KJ168065_69_1026	94.0	92.8	92.8	92.8	92.8	2	0	0	6	4	6	1.2	N
0.0000	denoised_020	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_009	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_021	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_019	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_024	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_022	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_015	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.1026	denoised_039	KT989570_69_1011	MK496975_70_1018	MK496975_70_1018	86.3	78.9	84.5	75.8	84.5	4	1	1	21	9	11	1.9	N
0.0000	denoised_026	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_037	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_028	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_038	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_035	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_036	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_043	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_029	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_030	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_031	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_044	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_023	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_025	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_046	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_032	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_047	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_041	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_042	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_034	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_033	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_017	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_040	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_048	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_050	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_054	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_013	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.2000	denoised_055	KM658973_70_1012	JX559742_2429_3396	KM658973_70_1012	80.5	76.7	73.0	79.2	76.7	18	6	23	6	0	2	3.8	N
0.0000	denoised_027	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_058	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_052	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_059	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_049	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_014	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_056	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_062	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_045	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_065	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.6087	denoised_057	AP004404_70_1016	MG744345_69_1018	MG744345_69_1018	92.8	75.8	89.5	75.2	89.5	5	0	3	28	2	6	3.3	Y
0.0000	denoised_060	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_063	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_067	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0779	denoised_068	AP004104_69_1013	KU140665_70_1009	AP004104_69_1013	86.6	86.0	76.4	79.6	86.0	18	2	16	2	1	2	0.6	N
0.1542	denoised_053	MW471078_70_1025	AB371095_70_1037	AB371095_70_1037	70.7	65.3	67.3	56.0	67.3	5	0	0	30	22	22	3.3	N
0.0000	denoised_061	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_072	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_071	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_073	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_066	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_074	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0811	denoised_070	MZ930121_69_1020	KP218258_72_1029	KP218258_72_1029	87.7	83.9	85.2	82.6	85.2	6	2	3	10	4	10	2.6	N
0.0000	denoised_075	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.2011	denoised_051	AB445125_69_1011	AB282846_70_1010	AB445125_69_1011	89.0	86.5	80.0	80.6	86.5	19	5	10	4	0	2	2.6	N
0.0000	denoised_079	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_077	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_076	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_080	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0508	denoised_083	KX229692_70_1014	AP002952_69_1017	AP002952_69_1017	78.8	74.4	76.9	75.0	76.9	7	4	5	13	6	19	1.9	N
0.0000	denoised_078	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_084	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_082	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_064	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_087	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
