samplename	otu_001	otu_002	otu_003	otu_004	otu_005	otu_006	otu_007	otu_008	otu_009	otu_010	otu_011	otu_012	otu_013	otu_014	otu_015	otu_016	otu_017	otu_018	otu_019	otu_020	otu_021	otu_022	otu_023	otu_024	otu_025	otu_026	otu_027	otu_028	otu_029	otu_030	otu_031	otu_032	otu_033	otu_034	otu_035	otu_036	otu_037	otu_038	otu_039	otu_040	otu_041	otu_042	otu_043	otu_044	otu_045	otu_046	otu_047	otu_048	otu_049	otu_050	otu_051	otu_052	otu_053	otu_054	otu_055	otu_056	otu_057	otu_058	otu_059	otu_060	otu_061	otu_062	otu_063	otu_064	otu_065	otu_066	otu_067	otu_068	otu_069	otu_070	otu_071	otu_072	otu_073	otu_074	otu_075	otu_076	otu_077	otu_078	otu_079	otu_080	otu_081	otu_082	otu_083	otu_084	otu_085	otu_086	otu_087	otu_088	otu_089	otu_090	otu_091	otu_092	otu_093	otu_094	otu_095	otu_096	otu_097	otu_098	otu_099	otu_100	otu_101	otu_102	otu_103	otu_104	otu_105	otu_106	otu_107	otu_108	otu_109	otu_110	otu_111	otu_112	otu_113	otu_114	otu_115	otu_116	otu_117	otu_118	otu_119	otu_120	otu_121	otu_122	otu_123	otu_124	otu_125	otu_126	otu_127	otu_128	otu_129	otu_130	otu_131	otu_132	otu_133	otu_134	otu_135	otu_136	otu_137	otu_138	otu_139	otu_140	otu_141	otu_142	otu_143	otu_144	otu_145	otu_146	otu_147	otu_148	otu_149	otu_150	otu_151	otu_152	otu_153	otu_154	otu_155	otu_156	otu_157	otu_158	otu_159	otu_160	otu_161	otu_162	otu_163	otu_164	otu_165	otu_166	otu_167	otu_168	otu_169	otu_170	otu_171	otu_172	otu_173	otu_174	otu_175	otu_176	otu_177	otu_178	otu_179	otu_180	otu_181	otu_182	otu_183	otu_184	otu_185	otu_186	otu_187	otu_188	otu_189	otu_190	otu_191	otu_192	otu_193	otu_194	otu_195	otu_196	otu_197	otu_198	otu_199	otu_200	otu_201	otu_202	otu_203	otu_204	otu_205	otu_206	otu_207	otu_208	otu_209
ClaidentTutorial__Sample01__MiFish	3908.04597701149	0	2931.03448275862	0	1954.02298850575	3908.04597701149	2931.03448275862	0	0	0	0	0	0	5862.06896551724	0	0	6839.08045977012	1954.02298850575	0	977.011494252874	977.011494252874	0	1954.02298850575	0	0	3908.04597701149	2931.03448275862	0	0	0	0	1954.02298850575	0	0	0	0	0	0	0	977.011494252874	0	0	0	2931.03448275862	0	0	0	0	0	3908.04597701149	0	0	0	977.011494252874	2931.03448275862	0	0	0	0	0	2931.03448275862	2931.03448275862	1954.02298850575	0	977.011494252874	0	0	0	0	0	0	0	0	0	0	0	1954.02298850575	0	0	977.011494252874	0	0	0	0	0	0	0	4885.05747126437	5862.06896551724	977.011494252874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4885.05747126437	0	0	0	2931.03448275862	0	0	0	0	0	1954.02298850575	0	0	3908.04597701149	0	0	0	0	0	2931.03448275862	0	0	0	0	0	1954.02298850575	0	0	0	0	0	0	5862.06896551724	0	0	0	3908.04597701149	0	0	0	2931.03448275862	0	0	0	0	0	0	2931.03448275862	0	0	0	0	2931.03448275862	2931.03448275862	0	0	0	0	2931.03448275862	0	0	0	0	0	0	0	0	0	0	977.011494252874	0	0	0	0	0	1954.02298850575	0	0	0	0	0	977.011494252874	0	0	0	0	2931.03448275862	977.011494252874	0	0	0	0	0	977.011494252874	0	0	0	0	2931.03448275862	2931.03448275862	0	0	0
ClaidentTutorial__Sample02__MiFish	3820.22471910112	0	9550.56179775281	0	9550.56179775281	3820.22471910112	5730.33707865169	0	0	0	5730.33707865169	0	0	5730.33707865169	0	0	5730.33707865169	5730.33707865169	0	9550.56179775281	11460.6741573034	0	11460.6741573034	0	0	11460.6741573034	3820.22471910112	0	0	0	0	5730.33707865169	0	7640.44943820225	0	0	0	0	0	11460.6741573034	0	0	0	7640.44943820225	0	0	0	0	5730.33707865169	5730.33707865169	0	0	0	1910.11235955056	7640.44943820225	0	0	0	0	0	3820.22471910112	3820.22471910112	9550.56179775281	0	1910.11235955056	0	0	0	0	0	0	3820.22471910112	0	0	0	0	1910.11235955056	0	0	1910.11235955056	0	0	0	0	0	0	0	1910.11235955056	1910.11235955056	1910.11235955056	0	0	3820.22471910112	0	0	0	0	0	0	0	0	0	0	0	0	0	7640.44943820225	0	0	0	3820.22471910112	0	0	0	0	0	3820.22471910112	0	0	7640.44943820225	0	0	0	0	0	3820.22471910112	0	0	0	0	0	5730.33707865169	0	0	0	0	0	3820.22471910112	1910.11235955056	0	0	0	5730.33707865169	0	0	0	5730.33707865169	0	0	0	0	0	0	5730.33707865169	0	0	0	0	5730.33707865169	1910.11235955056	0	11460.6741573034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5730.33707865169	0	0	0	0	0	0	0	0	0	0	0	5730.33707865169	0	0	0	0	0	0	0	0	0	7640.44943820225
ClaidentTutorial__Sample03__MiFish	10149.2537313433	12686.5671641791	2537.31343283582	0	2537.31343283582	7611.94029850747	10149.2537313433	7611.94029850747	0	0	5074.62686567164	0	0	10149.2537313433	0	0	15223.8805970149	2537.31343283582	0	0	10149.2537313433	0	5074.62686567164	7611.94029850747	0	2537.31343283582	10149.2537313433	0	0	0	0	10149.2537313433	0	7611.94029850747	0	0	0	0	0	5074.62686567164	0	0	0	7611.94029850747	0	0	0	0	2537.31343283582	10149.2537313433	0	0	0	0	10149.2537313433	0	0	0	0	0	10149.2537313433	2537.31343283582	15223.8805970149	0	2537.31343283582	15223.8805970149	0	0	0	0	0	5074.62686567164	0	0	0	0	5074.62686567164	0	0	7611.94029850747	0	0	0	0	0	0	0	5074.62686567164	7611.94029850747	5074.62686567164	0	0	5074.62686567164	0	0	12686.5671641791	0	0	0	0	0	0	0	0	0	0	15223.8805970149	0	0	0	12686.5671641791	0	0	0	0	0	7611.94029850747	7611.94029850747	0	2537.31343283582	0	0	0	0	0	2537.31343283582	0	0	0	0	0	7611.94029850747	0	0	0	7611.94029850747	0	10149.2537313433	15223.8805970149	0	0	0	0	10149.2537313433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7611.94029850747	0	0	0	0	12686.5671641791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample04__MiFish	5666.66666666667	3777.77777777778	5666.66666666667	0	3777.77777777778	15111.1111111111	3777.77777777778	5666.66666666667	0	0	3777.77777777778	0	0	3777.77777777778	0	0	0	9444.44444444444	11333.3333333333	0	7555.55555555556	0	5666.66666666667	5666.66666666667	0	1888.88888888889	3777.77777777778	0	0	0	0	3777.77777777778	0	3777.77777777778	0	0	0	0	0	5666.66666666667	0	0	0	1888.88888888889	0	0	0	0	9444.44444444444	9444.44444444444	0	0	0	0	9444.44444444444	0	0	0	0	0	1888.88888888889	1888.88888888889	1888.88888888889	0	7555.55555555556	3777.77777777778	0	0	0	0	0	7555.55555555556	0	0	0	3777.77777777778	7555.55555555556	0	11333.3333333333	11333.3333333333	0	0	0	3777.77777777778	0	0	0	3777.77777777778	0	5666.66666666667	0	0	5666.66666666667	0	0	7555.55555555556	0	0	0	0	0	0	0	0	0	0	1888.88888888889	5666.66666666667	0	0	11333.3333333333	0	0	0	0	5666.66666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5666.66666666667	0	0	0	0	0	5666.66666666667	0	0	0	0	5666.66666666667	0	0	0	0	0	0	0	3777.77777777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7555.55555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample05__MiFish	6488.54961832061	2595.41984732824	0	2595.41984732824	2595.41984732824	2595.41984732824	2595.41984732824	2595.41984732824	0	3893.12977099237	5190.83969465649	5190.83969465649	3893.12977099237	2595.41984732824	0	0	0	1297.70992366412	2595.41984732824	0	3893.12977099237	0	1297.70992366412	5190.83969465649	0	2595.41984732824	5190.83969465649	0	0	2595.41984732824	0	3893.12977099237	0	5190.83969465649	0	0	0	0	0	2595.41984732824	0	0	2595.41984732824	1297.70992366412	0	0	0	0	7786.25954198473	5190.83969465649	0	0	0	0	5190.83969465649	0	0	0	0	0	2595.41984732824	0	3893.12977099237	3893.12977099237	5190.83969465649	3893.12977099237	6488.54961832061	0	0	0	0	2595.41984732824	0	5190.83969465649	0	2595.41984732824	5190.83969465649	0	3893.12977099237	5190.83969465649	0	0	0	3893.12977099237	0	0	0	0	0	0	0	0	2595.41984732824	0	0	0	0	0	0	0	0	0	0	3893.12977099237	0	0	0	5190.83969465649	0	0	0	0	0	0	0	5190.83969465649	0	3893.12977099237	0	0	0	0	0	0	0	0	0	0	0	0	1297.70992366412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2595.41984732824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6488.54961832061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample06__MiFish	1188.81118881119	9510.48951048951	0	0	4755.24475524476	3566.43356643357	5944.05594405594	3566.43356643357	0	7132.86713286713	3566.43356643357	3566.43356643357	3566.43356643357	2377.62237762238	0	4755.24475524476	0	1188.81118881119	1188.81118881119	0	3566.43356643357	0	2377.62237762238	1188.81118881119	0	1188.81118881119	2377.62237762238	0	0	3566.43356643357	0	1188.81118881119	0	1188.81118881119	0	0	0	0	0	0	0	0	3566.43356643357	2377.62237762238	0	0	2377.62237762238	0	2377.62237762238	5944.05594405594	0	0	0	0	2377.62237762238	0	0	0	0	0	2377.62237762238	0	0	3566.43356643357	3566.43356643357	8321.67832167832	10699.3006993007	0	0	0	0	2377.62237762238	0	0	0	7132.86713286713	0	0	0	0	0	0	0	8321.67832167832	0	0	2377.62237762238	0	0	0	0	0	0	0	0	0	0	0	3566.43356643357	0	0	0	1188.81118881119	4755.24475524476	3566.43356643357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2377.62237762238	0	0	5944.05594405594	0	0	0	0	0	0	0	0	0	0	2377.62237762238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3566.43356643357	0	0	0	0	0	0	1188.81118881119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample07__MiFish	11860.4651162791	5930.23255813954	7906.97674418605	7906.97674418605	3953.48837209302	5930.23255813954	11860.4651162791	9883.72093023256	9883.72093023256	3953.48837209302	5930.23255813954	5930.23255813954	15813.9534883721	7906.97674418605	5930.23255813954	1976.74418604651	3953.48837209302	1976.74418604651	5930.23255813954	0	5930.23255813954	0	3953.48837209302	7906.97674418605	0	3953.48837209302	1976.74418604651	0	0	5930.23255813954	0	0	0	5930.23255813954	0	0	0	0	0	7906.97674418605	0	0	3953.48837209302	0	0	0	0	0	3953.48837209302	9883.72093023256	0	0	0	0	0	0	0	0	5930.23255813954	0	0	5930.23255813954	0	5930.23255813954	0	0	0	5930.23255813954	0	0	0	0	0	0	0	13837.2093023256	0	0	0	0	0	3953.48837209302	0	3953.48837209302	0	0	3953.48837209302	0	0	0	0	0	0	0	0	0	3953.48837209302	0	3953.48837209302	0	0	0	5930.23255813954	0	3953.48837209302	0	0	7906.97674418605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7906.97674418605	0	0	3953.48837209302	0	0	0	0	0	0	0	0	0	0	3953.48837209302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5930.23255813954	0	0	0	0	0	0	0	0	0	0	0	1976.74418604651	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample08__MiFish	0	9357.79816513762	6238.53211009174	3119.26605504587	0	3119.26605504587	4678.89908256881	3119.26605504587	6238.53211009174	9357.79816513762	4678.89908256881	3119.26605504587	0	3119.26605504587	6238.53211009174	6238.53211009174	1559.63302752294	0	1559.63302752294	0	3119.26605504587	0	4678.89908256881	4678.89908256881	0	4678.89908256881	3119.26605504587	0	0	7798.16513761468	0	0	0	6238.53211009174	0	0	6238.53211009174	10917.4311926606	0	0	0	0	0	0	0	0	4678.89908256881	0	0	0	0	0	0	0	0	0	0	0	7798.16513761468	0	0	3119.26605504587	0	4678.89908256881	0	0	0	4678.89908256881	4678.89908256881	0	0	0	0	0	0	7798.16513761468	0	0	0	0	0	6238.53211009174	0	14036.6972477064	0	0	6238.53211009174	0	0	0	0	0	0	0	0	0	4678.89908256881	0	4678.89908256881	0	0	0	4678.89908256881	0	7798.16513761468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1559.63302752294	6238.53211009174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1559.63302752294	0	4678.89908256881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3119.26605504587	0	0	0	0	0	0	1559.63302752294	0	0	0	0	0	0
ClaidentTutorial__Sample09__MiFish	7640.44943820225	3820.22471910112	3820.22471910112	7640.44943820225	5730.33707865169	5730.33707865169	5730.33707865169	0	3820.22471910112	3820.22471910112	0	3820.22471910112	7640.44943820225	3820.22471910112	5730.33707865169	3820.22471910112	7640.44943820225	0	1910.11235955056	0	3820.22471910112	0	5730.33707865169	9550.56179775281	1910.11235955056	3820.22471910112	3820.22471910112	0	0	5730.33707865169	0	0	0	0	0	0	5730.33707865169	1910.11235955056	0	0	0	0	3820.22471910112	0	3820.22471910112	0	5730.33707865169	0	0	0	0	0	0	7640.44943820225	0	0	0	0	0	0	0	0	0	7640.44943820225	0	0	0	0	9550.56179775281	0	0	0	0	0	3820.22471910112	0	0	0	0	0	0	3820.22471910112	0	0	0	0	9550.56179775281	0	0	0	0	0	0	0	0	0	7640.44943820225	0	7640.44943820225	0	9550.56179775281	0	3820.22471910112	0	3820.22471910112	0	0	0	9550.56179775281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13370.7865168539	0	0	0	0	11460.6741573034	0	0	0	0	15280.8988764045	0	0	0	0	0	0	5730.33707865169	0	0	0	0	0	0	0	0	3820.22471910112	0	0	0	5730.33707865169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9550.56179775281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample10__MiFish	3333.33333333333	6666.66666666667	8333.33333333333	3333.33333333333	1666.66666666667	5000	3333.33333333333	13333.3333333333	1666.66666666667	3333.33333333333	8333.33333333333	8333.33333333333	5000	0	6666.66666666667	6666.66666666667	3333.33333333333	1666.66666666667	3333.33333333333	6666.66666666667	5000	0	11666.6666666667	5000	5000	0	0	0	0	5000	0	0	0	0	0	0	1666.66666666667	6666.66666666667	0	0	0	10000	0	0	0	0	5000	0	0	0	1666.66666666667	0	0	3333.33333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3333.33333333333	0	0	0	0	0	6666.66666666667	0	0	0	0	0	0	3333.33333333333	0	0	0	0	3333.33333333333	0	6666.66666666667	0	0	0	0	0	0	11666.6666666667	11666.6666666667	0	0	0	1666.66666666667	0	0	0	0	8333.33333333333	0	0	3333.33333333333	0	0	1666.66666666667	0	0	0	0	0	0	0	0	0	0	0	0	5000	0	0	0	0	5000	0	0	0	0	5000	0	0	0	0	0	0	1666.66666666667	0	0	0	0	0	0	0	6666.66666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3333.33333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
